color,R,G,B,DMC Name,DMC Floss,Anchor Name,Anchor Floss
"(123, 0, 27)",123,0,27,Garnet Dark,814,  Dk Garnet,45
"(255, 121, 146)",255,121,146,Melon Dark,3705,  Dk Melon,35
"(219, 179, 203)",219,179,203,Violet Light,554,  Lt Violet,96
"(197, 73, 137)",197,73,137,Plum Light,3607,  Lt Plum,87
"(128, 58, 107)",128,58,107,Violet Medium,552,  Md Violet,99
"(163, 123, 167)",163,123,167,Lavender Dark,209,  Dk Lavender,109
"(211, 215, 237)",211,215,237,Blue Violet Vy Lt,3747,  Vy Lt Blue Violet,120
"(37, 59, 115)",37,59,115,Navy Blue,336,  Navy Blue,150
"(19, 71, 125)",19,71,125,Royal Blue,797,  Royal Blue,139
"(107, 158, 191)",107,158,191,Blue Medium,826,  Md Blue,161
"(14, 54, 92)",14,54,92,Royal Blue Very Dark,820,  Vy Dk Royal Blue,134
"(161, 194, 215)",161,194,215,Blue Light,813,  Lt Blue,161
"(20, 170, 208)",20,170,208,Electric Blue,3843,  Electric Blue,1089
"(18, 174, 186)",18,174,186,Turquoise Bright Dark,3844,  Dk Bright Turquoise,410
"(61, 149, 165)",61,149,165,Peacock Blue Dark,806,  Dk Peacock Blue,169
"(178, 212, 189)",178,212,189,Blue Green Lt,3813,  Lt Blue Green,219
"(23, 73, 35)",23,73,35,Pistachio Grn Ult V D,890,  Ul Dk Pistachio Green,218
"(153, 195, 170)",153,195,170,Celadon Green Lt,3817,  Lt Celadon Green,875
"(44, 106, 69)",44,106,69,Celadon Green VD,561,  Vy Dk Jade,212
"(71, 167, 47)",71,167,47,Kelly Green,702,  Kelly Green,225
"(158, 207, 52)",158,207,52,Chartreuse Bright,704,  Bright Chartreuse,237
"(166, 167, 93)",166,167,93,Khaki Green Md,3012,  Md Khaki Green,843
"(253, 237, 84)",253,237,84,Lemon,307,  Lemon,289
"(243, 206, 117)",243,206,117,Straw,3821,  Straw,305
"(255, 200, 64)",255,200,64,Topaz Med Lt,725,  Md Lt Topaz,305
"(229, 206, 151)",229,206,151,Old Gold Lt,676,  Lt Old Gold,891
"(142, 144, 120)",142,144,120,Brown Gray Med,3022,  Md Brown Gray,8581
"(54, 31, 14)",54,31,14,Coffee Brown Ult Dk,938,  Ul Dk Coffee Brown,1088
"(251, 213, 187)",251,213,187,Tawny,945,  Tawny,366
"(172, 84, 20)",172,84,20,Copper Med,920,  Md Copper,339
"(247, 139, 19)",247,139,19,Pumpkin Light,970,  Lt Pumpkin,316
"(164, 131, 92)",164,131,92,Mocha Beige Med,3863,  Md Mocha Beige,677
"(196, 142, 112)",196,142,112,Desert Sand,3064,  Desert Sand,347
"(73, 42, 19)",73,42,19,Coffee Brown Vy Dk,898,  Vy Dk Coffee Brown,360
"(187, 5, 31)",187,5,31,Coral Red Very Dark,817,  Vy Dk Coral Red,13
"(171, 171, 171)",171,171,171,Steel Gray Lt,318,  Lt Steel Gray,399
"(108, 108, 108)",108,108,108,Pewter Gray,317,  Pewter Gray,400
"(30, 17, 8)",30,17,8,Black Brown,3371,  Black Brown,382
"(255, 255, 255)",255,255,255,Snow White,B5200,  Snow White,1
